book,passage,headword,pos,meaning_zh,definition_zh,synonyms,pos_variations,confusables,example_en,pronunciation,tags
C5,The birth of modern plastics,Amassing,v. 現在分詞,大量累積、積聚（財富或物資）（原形：amass）,專指在一段較長的期間內，透過努力或手段，將大量的金錢、財富、數據、資訊「瘋狂積累、聚沙成塔地收集起來」（原文指當貝克蘭正忙著賺大錢積累美元時 busily amassing dollars）。,Accumulating (v. 寫作最推薦學術換詞) 累積、積聚 | Hoarding (v. 偏向屯積、藏匿) 囤積 | Gathering (v.) 收集,,,The technology research team spent five years amassing data on consumer habits. 🏭 工業製造與商業量產（字彙拆解）,,
C5,The birth of modern plastics,Malleable,adj.,可塑的、具延展性的、易受影響的,原本形容金屬或樹脂在加熱後「非常柔軟、可以用錘子敲打成各種形狀而不碎裂」；引申也可以形容人的性格軟弱、容易受他人擺佈。,Flexible / Pliable (adj.) 柔韌的 / 易彎曲的、可塑的 | Adaptable (adj.) 適應力強的、可修改的,Malleability (n.) 延展性、可塑性,,"When the raw resin is heated under a vacuum, it becomes highly malleable.",,
C5,The birth of modern plastics,Soluble,adj.,可溶的、可溶解的 / 可解決的,指某種固體物質能夠在水或其他化學液體中「完全溶解、化開」。,Dissolvable (adj.) 可溶解的,Solubility (n.) 溶解度 | Insoluble (adj. ⚠️反義詞）不可溶的 / 無法解決的（例：an insoluble problem 治不好的頑疾/無解的難題）,,This specific granular powder is easily soluble in warm alcohol.,,
C5,The birth of modern plastics,Catalysts,n. pl.,催化劑 / 觸媒、促成事情發展的人事物（原形：catalyst）,科學義：指在化學反應中，能顯著「加快反應速度」但自身在反應前後不發生本質改變的物質。 社會學義：在寫作中，極常用來指引發一場重大社會變革、經濟轉型的「導火線、催化劑、推手」。,Accelerators (n. pl.) 加速器、促進劑 | Activators (n. pl.) 活化劑、觸發器,,,The invention of the internet served as a major catalyst for global communication expansion.,,
C5,The birth of modern plastics,Crucial,adj.,至關重要的、決定性的,形容某個因素、階段或決定對事情的成敗具有「核心、生死攸關、極其關鍵」的影響力（原文指模具牆壁的厚度是至關重要的 thickness... was also crucial）。,Critical / Vital (adj. 還記得嗎？) 關鍵的 / 維持生命必需的 | Essential / Fundamental (adj. 階梯井用過！) 基礎的、不可或缺的,,,Choosing the right contractor is crucial to ensuring the stability of the facility.,,
C5,The birth of modern plastics,Disdain,n./v.,蔑視、鄙視、輕蔑,指因為覺得某人或某物低劣、沒有價值、或不配受到尊重，而表現出「強烈的看不起、冷漠與蔑視」（原文指電木發明初期受到了冷落與蔑視 treated with disdain in its early years）。,Contempt / Scorn (n.) 輕視 / 鄙視 | Disrespect (n.) 不敬、失禮,Disdainful (adj.) 輕蔑的、傲慢的,,The traditional architects treated the new synthetic material with utter disdain.,,
C5,The birth of modern plastics,Unparalleled,adj.,無比的、空前的、無與倫比的,【雅思口說、寫作最高讚美形容詞！】 字根來自 parallel（平行的/可匹敵的）。加上否定字首字尾後，形容某事的成就或受歡迎程度極高，以至於「沒有任何先例可以對比、沒有任何人能比得上」。,Unrivalled / Unrivaled (adj. 詞典與交通調查都考過！驚人的重複率！) 無雙的、無與倫比的 | Unprecedented (adj. 詞典主題學過！) 史無前例的 | Matchless (adj.) 獨一無二的、無配對的,,,The newly designed consumer electronics enjoyed an unparalleled popularity across the globe.,,
C5,The birth of modern plastics,Restructured / Transformed,v. 過去式,改造、重新建構、使徹底改觀（原形：transform）,指某事物的結構、外觀或本質發生了「翻天覆地的、徹底的巨大轉變」（原文指消費者欣喜於他們終於不再受限於無聊的木頭色 no longer restricted to the wood tones...）。,Transformed (v. 徹底改觀) | Revolutionized (v. 帶來革命性巨變) | Overhauled (v. 徹底檢修、大改造),,,The introduction of generative AI technology has completely transformed human resource operations.,,
C5,The birth of modern plastics,Despised,v. 過去式/adj.,被極度厭惡的、被鄙視的（原形：despise）,指對某人或某物產生「強烈的反感、極度厭惡、瞧不起」的情緒（原文指電木在 1950 年代跌落神壇，被大量厭惡並銷毀 was despised and destroyed）。,Detested / Loathed (v. 過去式) 痛恨的 / 厭惡的 | Scorned (v. 過去式) 被輕蔑的,,,The old style of industrial design was despised by the new generation of consumers.,,
C5,The birth of modern plastics,Renaissance,n.,文藝復興、復興、新生,原本指 14 到 16 世紀歐洲的「文藝復興運動」。在現代學術與商務中，常用來形容某個沉寂已久的老技術、舊風格、或傳統文化「突然重新流行、迎來第二春、再度繁榮」。,Revival / Resurgence (n. 寫作最推互換字) 復興 / 甦醒、再起 | Rebirth (n.) 重生、新生,,,Traditional hand-drawn animation is currently experiencing a major renaissance among young artists.,,
C5,The birth of modern plastics,Innovative,adj.,創新的、革新的、新穎的,形容思想、產品或方法充滿原創性，大膽引入全新的概念，並能帶來積極的改變。,Groundbreaking (adj.) 開天闢地、開創性的 | Novel (adj. ⚠️注意：當形容詞是新奇的，不是小說) 新穎的、新奇的 | Revolutionary (adj.) 革命性的,Innovate (v.) 創新、革新 / Innovation (n.) 創新、新發明,,The company won a national award for its innovative application of AI in visual design.,,
C5,The birth of modern plastics,Patented,v. 過去式/adj.,取得專利、受專利保護的（原形：patent）,指發明人向政府申請並成功獲得「專利權」，在法定期限內享有獨佔、壟斷該項新發明、新技術的法律保護。在雅思聽力或閱讀中，只要看到科學家發明新東西，後面高機率會跟著這個字。,Monopolized (v. 過去式) 壟斷、獨佔 | Copyrighted (v. 過去式/adj. ⚠️特指著作權/版權) 受版權保護的 | Proprietary (adj. 高級學術/商務字) 專利的、專有的、所有權的,Patent (n.) 專利權 / (v.) 申請專利,,The Belgian scientist successfully patented his revolutionary synthetic material in 1907.,,
C5,The birth of modern plastics,Constituents,n. pl.,成分、組成要素、選民（原形：constituent）,科學義：指構成某個化學混合物、物質、系統或整體的「基本成分、化學單元或分子要素」。 政治義：在社會學或政治學話題中，專指某個選區內的「選民」。,Components / Ingredients (n. pl.) 零件、成分 / （食物或配方的）原料 | Elements (n. pl.) 元素、要素 | Voters / Electorate (n. pl. 對應政治選民義) 選民,Constitute (v. ⚠️寫作 Task 1 超高頻動詞！) 構成、組成（等同於 make up） | Constitution (n.) 憲法 / 體質、構造,,The plastic material was engineered directly from the chemical constituents of oil.,,
C5,The birth of modern plastics,Distinction,n.,殊榮、特點、卓越、差別,【雅思學術多義字考點！】 特點殊榮義：指某人或某物所具備的「極其獨特、與眾不同且令人驕傲的特徵/殊榮」（原文指電木擁有身為第一個完全合成塑料的殊榮 had the distinction of being...）。 差別義：指兩者之間非常明確的「區別、對比」（常見搭配：make a distinction between A and B 區分 A 與 B）。,Honour / Privilege (n.) 榮譽 / 特權、殊榮 | Difference / Contrast (n.) 差異 / 對比 | Excellence (n.) 優秀、卓越,Distinct (adj.) 明顯不同的、清晰的 / Distinctive (adj.) 獨特的、有特色的,,The university's HRD program has the distinction of being the most internationally diverse in the country.,,
C5,The birth of modern plastics,Pragmatic,adj.,務實的、實事求是的、重實效的,形容處理事情、制定政策或設計發明時，完全以「現實環境、實際效益和實用功能」為第一考量，而不是基於抽象的理論、美學或意識形態。,Utilitarian (adj. 階梯井主題核心字！) 實用的、功利主義的 | Practical (adj.) 實用的、實際的 | Realistic (adj.) 現實的、踏實的,Pragmatism (n.) 務實主義、功利主義 | Pragmatically (adv.) 務實地,,The council took a pragmatic approach to settling the transport budget dispute. 🛠️ 技術流程與材料工程（字彙拆解）,,
C5,The birth of modern plastics,Outlined,v. 過去式,概述、勾勒核心輪廓、畫出輪廓（原形：outline）,指在撰寫報告、專利或計畫時，不探討繁瑣的旁枝末節，而是「清晰、有條理地說明最核心的步驟、主幹、大綱或原則」；在繪圖中指畫出物體的邊緣外輪廓。,Summarized (v. 過去式) 概述、總結 | Sketched (v. 過去式) 勾勒、草擬、畫素描 | Delineated (v. 過去式 高級學術字) 描繪、詳細敘述,Outline (n.) 大綱、輪廓、概要,,The original patent outlined a detailed three-stage industrial manufacturing process.,,
C5,The birth of modern plastics,Subjected to,phr. v. ⚠️過去分詞/被動形態，原形：subject to,使遭受、使承受,【雅思閱讀填空、對錯題超級大魔王！】 當它在句子中呈現被動形式（be subjected to）時，表示「被迫去承受、經歷某種極端環境、嚴格測試、外力打擊或不好的待遇」（原文指加熱的塑料被注入模具，並承受極端的熱與壓力 subjected to extreme heat and pressure）。,Exposed to (phr.) 暴露於、使遭受（如 exposed to radiation 暴露於輻射中） | Underwent (v. 過去式) 經歷、承受（考場上最完美的互換字） | Submitted to (phr. v.) 屈服於、提交,,詞性外型大對決（這個字的用法在考場極其多變） | Subject (n.) 主題 / 科目 / 實驗對象 | Subjective (adj.) 主觀的（相反詞是 objective 客觀的） | Be subject to... (adj. 短語) 易受……影響的 / 取決於……的（例：Prices are subject to change. 價格可能會變動。）,"Before the new facility is established, the architectural design must be subjected to rigorous safety checks.",,
C5,The birth of modern plastics,Insulating,adj.,絕緣的、隔熱的、隔音的,物理與工程材料大字。形容某種材料（如橡膠、電木、石棉）具備「阻擋電流、熱量或聲音穿透傳導」的保護特性。,Non-conducting (adj.) 不導電的、不傳熱的 | Shielding (adj./v. 現在分詞) 屏蔽的、防護的,Insulate (v.) 使絕緣、使隔熱 / 隔離（免受壞影響） | Insulation (n. ⚠️聽力綠色建築話題超常考！) 絕緣體、隔熱材料（如 roof insulation 屋頂隔熱層）,,Electrical manufacturers seized on the material's excellent insulating properties to make safer switches.,,
C5,The birth of modern plastics,Sterilisable / Sterilizable,adj.,可殺菌的、可高溫消毒的,由動詞 sterilise（殺菌、結紮）加上字尾 -able（可……的）組合而成。專指醫療器材、廚房用品可以經受住高溫、化學藥劑或輻射，達到「完全消滅所有細菌、微生物」的耐受標準。,Disinfectable (adj.) 可消毒的 | Antiseptic (adj./n.) 防腐的、抗菌的 / 殺菌劑,Sterilise / Sterilize (v.) 殺菌、高溫消毒 / 使絕育 | Sterilisation (n.) 消毒、滅菌 / 絕育手術,,"Because Bakelite kitchen goods were heat-resistant and sterilisable, they were promoted as being germ-free.",,
C5,The birth of modern plastics,Mould / Mold,n.,模具、模型 / 黴菌 / (v.) 塑造、鑄造,工業義：指用來將液態或可塑性材料注入、藉此固定形狀的「空心模具、模型」（原文塑料字源 plassein 意為 to mould 塑造；末段提到將塑料倒入 hollow mould 空心模具中）。 生物義：在環境科學或居家健康話題中，指潮濕處滋生的「黴菌、霉」。 動詞義：指「形塑、塑造」（如 mould the character 塑造性格）。,Cast / Form (n.) 鑄模 / 形狀、模具 | Fungus (n. 對應生物義) 真菌、黴菌 | Shape (v.) 塑造、使成形,,,The molten plastic was poured into a custom-designed mould to set its permanent shape.,,
C5,The birth of modern plastics,Derived from,phr. v.,衍生自、源自於、從……中提取,【雅思學術極高頻核心！】 指某種物質、化學品、文字或理論，是「從某個特定的源頭、原材料中提取、提煉、衍生而來」（原文指 Some plastics are derived from natural sources 某些塑料源自天然原料）。,Extracted from (phr.) 從……中提取 | Originated from (phr. v.) 起源於 | Sourced from (phr.) 來源於,Derive (v.) 得到、源於 | Derivation (n.) 起源、衍生 | Derivative (adj./n.) 衍生的 / 衍生物,,Many modern life-saving medicines are originally derived from rare rainforest plants.,,
C5,The birth of modern plastics,Semi-,prefix,半、部分,極度常見的學術字首。用來表示「一半、某種程度上、不完全的」（原文指電木發明前已有 semi-synthetic 半合成的材料）。,Semi-skilled (adj.) 半熟練的（常考人資、勞工話題） | Semi-arid (adj.) 半乾旱的（常考地理環境科學話題） | Semi-detached (adj.) 半獨立式、雙拼住宅（聽力租房核心字）,,,"The state suffers from a semi-arid climate, making water table management crucial.",,
C5,The birth of modern plastics,Substance,n.,物質、實質、主旨,指一種具有特定物理特性的實體「物質、材料、化學物」；在辯論中指說話有「實質內容、根據」。,Material / Matter (n.) 材料 / 物質、要素 | Chemical compound (n. phr.) 化學化合物 | Essence (n. 對應實質義) 本質、精髓,Substantial (adj. ⚠️寫作 Task 1 核心字）大量的、重大的、實質的（如 a substantial increase 大幅增長）,,The researcher mixed the sticky substance with a catalyst to speed up the chemical action.,,
C5,The birth of modern plastics,Porous,adj.,有孔的、多孔的、能滲透的,物理與材料科學核心字。形容材料表面佈滿了極其微小的孔洞，導致「液體或空氣能夠輕易滲透、穿過」的特性。,Permeable (adj. 頂級學術換詞) 可滲透的、具滲透性的 | Penetrable (adj.) 可穿透的 | Spongy (adj.) 海綿狀的、多孔多汁的,Porosity (n.) 多孔性、孔隙率,反義詞對決（本文考點！） | Porous (adj. 多孔滲水的) vs Non-porous (adj. 原文用來形容電木廚具：無孔、不滲水、不易滋生細菌的),"Because the new synthetic material is completely non-porous, it is highly germ-free.",,
C5,The birth of modern plastics,Properties,n. pl.,特性、屬性 / 房產、財產（原形：property）,【雅思聽力、閱讀超級核心多義字！】 科學材料義：在科學、環境與材料文章中，100% 專指某種物質所具備的「物理、化學特性或功能屬性」（原文指電木的 insulating properties 絕緣特性）。 生活房產義：在聽力租房或商務話題中，指「房產、地產、財產」。,Characteristics / Features (n. pl.) 特徵 / 特色 | Attributes (n. pl. 高級學術字) 屬性、特質 | Real estate / Assets (n. pl. 對應房產資產義) 房地產 / 資產,,,The unique chemical properties of Bakelite made it a perfect material for industrial expansion.,,
C5,The birth of modern plastics,Embarked on,phr. v.,開始、著手進行（重大或艱難的事情）,【寫作與口說高階優美動詞！】 原意指登船。引申為「正式踏上一段旅程、著手啟動一項大型專案、研究計畫或全新職業生涯」（原文指貝克蘭著手進行樹脂研究 embarked on research into phenolic resins）。,Commenced (v. 過去式) 開始、著手 | Initiated (v. 過去式 還記得嗎？) 發起、創始 | Undertook (v. 過去式 寫作最推) 承擔、著手做（如 undertake a project）,,,"After completing her master's degree, she embarked on a promising career in human resource management.",,
C5,The birth of modern plastics,Purely,adv.,純粹地、完全地、僅僅,用來強調某件事完全只基於某一個特定的角度、原因或範疇，不包含其他雜質（原文指 In purely scientific terms 純粹從科學的角度來看）。,Solely / Merely (adv.) 僅僅、單純 | Exclusively (adv.) 專門地、獨家地 | Entirely (adv.) 完全地,Pure (adj.) 純的、純粹的 / Purity (n.) 純潔、純度,,The decision to change the contractor was made purely for safety reasons.,,
C5,The birth of modern plastics,Commercial,adj.,商業的、營利的 / 商業廣告,指與商務活動、商品貿易、賺取利潤直接相關的；引申指能夠「投入市場進行大規模量產與銷售的」（原文指將其在商業基礎上進行準備 preparation on a commercial basis）。,Business-related (adj.) 商業相關的 | Profit-oriented (adj.) 以營利為導向的 | Marketable (adj.) 可銷售的、符合市場需求的,Commerce (n.) 商業、貿易 / Commercially (adv.) 商業上地、商務地,,The major challenge of the invention was how to manufacture it on a commercial scale.,,
C5,The birth of modern plastics,Extract,v.,提取、提煉、拔出 / (n.) 摘錄、精華液,指利用化學、物理或強大的外力，將某種有價值的成分從一個整體中「強行提取、提煉或拔出」（原文指設計必須讓產品容易從模具中拔出 difficult to extract）。當名詞時發音不同，指引文或植物精華。,Remove / Withdraw (v.) 移開 / 撤回、拔出 | Isolate (v. 特指化學分離提取) 分離、孤立 | Quotation / Excerpt (n. 對應文字摘錄義) 引文 / 摘錄,Extraction (n.) 提取、拔除,,The engineering process made it easier to extract the hardened plastic from the crater.,,
C5,The birth of modern plastics,Governed,v. 過去式,統治、管理 / 支配、受到……的強烈制約（原形：govern）,【雅思閱讀抽象義考點！】 日常指政府管理國家。但在學術語境中，極常指某種科學行為、產品設計或社會現象「受到某種客觀規律、技術要求或原則的強烈支配、限制與制約」（原文指塑料產品的設計在很大程度上受制於模具工藝的要求 was governed to a large extent by...）。,Controlled / Regulated (v. 過去式) 控制 / 規範 | Dictated (v. 過去式 高級字) 支配、命令、決定（如 dictated by market trends 受市場趨勢支配）,Governor (n.) 州長、主管 / Government (n.) 政府,,The recruitment life cycle is strictly governed by local labor laws.,,
C5,The birth of modern plastics,Wealthy,adj.,富裕的、有錢的,形容一個人或國家擁有大量的金錢、土地、資產或財富，處於高度富庶的狀態。,Affluent (adj. 寫作最推高階字) 富裕的、富足的 | Prosperous (adj.) 繁榮的、興旺的 | Well-off (adj.) 寬裕的、經濟條件好的,Wealth (n.) 財富、豐富,,"By 1905, Baekeland had become a wealthy New Yorker due to his successful photographic paper invention.",,
C5,The birth of modern plastics,Ivory,n.,象牙 / 象牙色,大象長牙的堅硬白色材質（歷史上常作為奢侈工藝品原料）。文中提到塑料的發明是為了解決稀缺奢侈原材料（如 tortoiseshell and ivory 玳瑁與象牙）供應不足的問題。,,,,The international trade of ivory has been strictly banned to protect wild elephants.,,
C5,The birth of modern plastics,Seized on,phr. v. 過去式,抓往（機會）、迫不及待地利用（原形：seize on）,指一看到某個機會、好點子或某種新材料的優勢，就「極其敏銳、迫不及待地立刻緊緊抓住並加以利用」（原文指電氣製造商迅速看中並利用了電木的絕緣特性 Electrical manufacturers seized on its insulating properties）。,Capitalized on (phr. v. 頂級商務大字) 利用、從中獲利 | Exploited (v. 過去式) 開發、利用、剝削 | Grasped (v. 過去式) 緊抓、理解,,,The HR intern seized on the opportunity to present her ideas on digital transformation.,,
C5,The birth of modern plastics,Relished,v. 過去式,享受、沉溺於、非常喜歡（原形：relish）,指從某種體驗、新事物或思想中獲得極大的樂趣，並「充滿興致地去享受、品味它」（原文指消費者非常喜愛並享受塑料那令人眼花繚亂的豐富色彩 consumers everywhere relished its dazzling array...）。,Enjoyed (v. 過去式) 享受、喜愛 | Savoured / Savored (v. 過去式) 細細品嚐、欣賞 | Delighted in (phr.) 以……為樂,,,The graduate student relished the challenge of executing the complex thesis research project.,,
C5,The birth of modern plastics,Array of shades,n. phr.,琳瑯滿目的色彩/色調組合,由兩個大字組成的神級搭配。An array of 意為「一系列琳瑯滿目、排列整齊的大量人事物」；Shades 指「顏色的深淺色調、細微差別」。合在一起形容視覺上極其豐富震撼的色彩盛宴。,Vast selection of colours (n. phr.) 豐富多樣的顏色 | Spectrum of tones (n. phr.) 色調的光譜/範圍,,,The vintage magazine photography attracted viewers with its dazzling array of shades.,,
C5,The birth of modern plastics,Delight,n.,欣喜、快樂 / (v. 常搭配 in) 使高興、以……為樂,形容一種非常強烈、雀躍的快樂與滿足感（原文指消費者感到非常高興 delighted that they were now...）。,Joy / Pleasure (n.) 歡樂 / 愉悅 | Gratification (n. 高級學術字) 滿足、滿意,Delightful (adj.) 令人愉快的、討人喜歡的,,"To the delight of the local council, the transport project was completed well within budget.",,
C5,The birth of modern plastics,Earring,n.,耳環、耳飾,,,,,"In the 1930s, Bakelite was heavily used to manufacture fashionable earrings and accessories.",,
C5,The birth of modern plastics,Dedicated,adj.,專注的、充滿奉獻精神的 / 專用的,形容一個人將自己所有的時間、心血都投注在某個特定的偉大目標或愛好上，非常「全心全意、精誠奉獻」；也可指某個硬體是專款專用的。,Devoted / Committed (adj.) 投入的、奉獻的 | Enthusiastic (adj.) 熱情的、熱心的 | Exclusive (adj. 對應專用義) 獨有的、專用的,Dedicate (v.) 奉獻、題獻（常用結構：dedicate A to B） | Dedication (n.) 奉獻、敬業精神（還記得 testimony 證明了建商的 dedication 嗎？）,,"Thanks to the work of dedicated individuals, many ruined medieval monuments have been saved.",,
C10,Stepwells,Fundamental,adj.,基礎的、根本的、至關重要的,形容某事非常基本，是其他所有事物的基石；或指極其重要、不可或缺（原文指階梯井在印度乾燥地區是生活中不可或缺的一部分）。,Essential (adj.) 必不可少的、本質的 | Crucial (adj.) 至關重要的 | Radical (adj.) 根本的、激進的,Fundamentally (adv.) 根本地、從本質上 | Fundamentals (n. pl.) 基本原則、基礎,,Water is fundamental to human survival and the development of civilisations.,,
C10,Stepwells,Access,n./v.,接近或使用的權利/機會、通道,【雅思超級必考大字！】 指進入某個地方、使用某種資源（如乾淨水源、教育、醫療）的權利或途徑（原文指當地人發展出獲取乾淨地下水的方法 access to clean groundwater）。,Admission (n.) 入場權、准許進入 | Approach (n.) 接近、方法、通道 | Availability (n.) 可獲得性、可用性,Accessible (adj.) 可接近的、可得到的（常搭配 to） | Accessibility (n.) 可及性、便利性,易混淆單字 | Assess (v.) 評估、評定（拼法極像，音標與意思完全不同！） | Excess (n./adj.) 過量、過剩的,Everyone should have equal access to high-quality higher education.,,
C10,Stepwells,Utilitarian,adj.,實用的、功利主義的,形容設計或發明完全是以「實用、功能性」為唯一導向，而不考慮美觀、舒適或裝飾（原文指階梯井的意義超越了實用價值 beyond its utilitarian application）。,Pragmatic (adj. 寫作高階字) 務實的、實事求是的 | Functional (adj.) 功能性的、實用的 | Practical (adj.) 實用的,Utilitarianism (n.) 功利主義 | Utility (n.) 實用、效用 / 公共事業（如水電）,,"The building has a strictly utilitarian design, focusing on safety rather than beauty.",,
C10,Stepwells,Recedes,v. 第三人稱單數,後退、退去、變模糊（原形：revert / recede）,指水、潮水、頭髮或記憶「逐漸往後退、遠離或減少」（原文指雨季過後，地下水源水位逐漸下降後退 as it recedes following the rains）。,Withdraws (v. 還記得嗎？) 撤回、退後 | Retreats (v.) 後退、撤退 | Diminishes (v.) 減少、減弱,Recession (n. 經濟大字) 經濟衰退（原本繁榮的經濟往後退）,雅思高頻字字首大混淆（都是 re- 開頭的動詞） | Recede (v.) 後退、變弱 | Revert (v. 還記得嗎？) 回復、恢復（常接 to） | Reduce (v.) 減少、降低,"As the floodwaters recede, the true scale of the disaster becomes clear.",,
C10,Stepwells,Elaborate,adj.,精心製作的、複雜精美的 / (v.) 詳盡闡述,當形容詞時（發音 /iˈlæb.ɚ.ət/），形容計畫、設計、工藝非常「複雜、細緻且充滿精心雕琢的細節」（原文形容某些階梯井設計更為複雜精美 Others are more elaborate）。當動詞時，常接 on 指詳細說明。,Intricate (adj. 原文也用了這個字喔！) 錯綜複雜的、精細的 | Sophisticated (adj. 還記得嗎？) 複雜精密的 | Detailed (adj.) 詳盡的,Elaborately (adv.) 精心、精細地 | Elaboration (n.) 精心策劃、詳盡闡述,,The ancient dancers wore elaborate costumes decorated with pearls and gold.,,
C10,Stepwells,Derelict,adj.,荒廢的、被拋棄的、破舊的,專指建築物、土地或船隻因為長期沒有人使用、照顧，而變得「破爛、荒廢且處於極差狀態」（原文形容許多階梯井已乾涸荒廢 many are derelict and dry）。,Abandoned (adj.) 被拋棄的、荒廢的 | Dilapidated (adj. 高級字) 破舊的、倒塌的 | Neglected (adj.) 受到忽視的、缺乏照顧的,Dereliction (n.) 玩忽職守、荒廢,,"The old factory has been derelict for years, and its windows are all broken.",,
C10,Stepwells,Pristine,adj.,原始的、嶄新的、一塵不染的,形容某物（如自然環境、古蹟）保持在最原始、最純潔、完全沒有受到破壞或污染的完美狀態（原文形容經過修復後，女王階梯井現處於 pristine condition 完好如初的狀態）。,Immaculate (adj. 高級字) 潔淨的、無瑕的 | Flawless (adj.) 完美無瑕的 | Untouched (adj.) 未受破壞的、原始的,,,The island is famous for its pristine sand beaches and crystal clear water.,,
C10,Stepwells,Ingenuity,n.,心靈手巧、獨創性、聰明才智,指發明、設計新事物或解決棘手問題時，所展現出的「聰明才智與原創巧思」（原文讚嘆古代文明的智慧 remind us of the ingenuity and artistry）。,Inventiveness (n.) 發明才能、獨創性 | Creativity (n.) 創造力 | Intelligence (n.) 智慧、才智,Ingenious (adj. 記得嗎？) 聰明的、精妙的（形容計畫或發明）,世紀超級易混淆字（長得很像，字義十萬八千里！） | Ingenuity (n.) 聰明才智、獨創性（來自 ingenious） | Indigenous (adj. 還記得嗎？) 土著的、土生土長的,The ancient irrigation system demonstrates the incredible ingenuity of the villagers. A bygone era (n. phr.)：一個過去的時代、逝去的歲月。 例句：These monuments serve as a reminder of a bygone era.（這些歷史遺跡讓人聯想起那段逝去的歲月。） Water table (n. phr.)：地下水位 雅思點：環境科學、地理類文章（如探討農業、地下水枯竭）的必考術語。 Dry spells (n. phr.)：乾旱期、連日不雨 解析：Spell 在這裡當名詞，指「一段持續的短暫時間」。 Silted up (phr. v.)：被泥沙淤積、堵塞 例句：The harbor became silted up following the heavy flood.（大水過後，港口被泥沙完全淤積了。） Survive an earthquake (v. phr.)：在地震中倖存（survive 後面直接接災難名詞，不加 in）。,,
C10,Stepwells,Document,v.,紀錄、記載 / (n.) 文件,【雅思多義字考點！】 當名詞是文件。但在本文中是動詞，指透過拍攝、寫作、錄音等方式「詳細記錄、記載」歷史事實或科學現象。,Record (v.) 記錄、記載 | Archive (v. 高級字) 存檔、把……收集歸檔 | Register (v.) 登記、註冊,Documentation (n.) 紀錄影片、文獻資料 | Documentary (n.) 紀錄片,,The team travelled to remote villages to document the vanishing languages.,,
C10,Stepwells,Monument,n.,歷史遺跡、紀念碑,指為了紀念重要人物、歷史事件，或是具有極高歷史文化價值的古老「建築物、遺跡」。,Historical site (n. phr.) 歷史古蹟 | Landmark (n.) 地標、里程碑 | Heritage (n. 通常指文化遺產) 遺產,Monumental (adj.) 巨大的、具紀念意義的（寫作高級形容詞，如 a monumental achievement 偉大的成就）,,The government allocated a large grant to preserve ancient monuments.,,
C10,Stepwells,Irrigation,n.,灌溉,農業與環境科學核心字。指透過人工修築水渠、管道，引水澆灌農田、作物的工程技術。,Watering (n.) 澆水 | Aqueduct (n.) 引水渠、渡槽,Irrigate (v.) 灌溉,,The newly constructed stepwell provided reliable water for crops irrigation.,,
C10,Stepwells,Heyday,n.,全盛時期、鼎盛時期,指某個人、國家、政權或某種建築技術「最繁榮、成功、最具影響力」的黃金時代（原文指 During their heyday，階梯井是村民聚集的中心）。,Golden age (n. phr.) 黃金時代 | Peak / Prime (n.) 巔峰、全盛期,,,"During its heyday in the 1970s, the City Pop genre dominated the music industry.",,
C10,Stepwells,Comprise,v.,包含、由……組成,學術寫作（Task 1 描述圖表組成成分、Task 2 論證）的頂級必備動詞。指某個整體「由哪些部分所構成」。,Consist of (phr. v. ⚠️注意：這個片語絕無被動) 由……組成 | Be composed of (phr.) 由……組成 | Constitute / Make up (v.) 構成、組成,,考場常見文法錯誤 | comprise 本身就是主動動詞，後面直接加名詞（例：The club comprises ten members.）。 | 考生常把它跟 be composed of 混淆而寫成 be comprised of，雖然現代美式英語接受，但在嚴謹的雅思學術寫作中建議使用主動形態。,The training program comprises both theoretical lessons and practical workouts.,,
C10,Stepwells,Relentless,adj.,持續嚴厲的、不放棄的、無情的,形容某種不好的狀況（如酷熱的天氣、嚴格的批評、無休止的壓力）「極其猛烈、持續不斷且毫無減弱跡象」（原文形容階梯井的涼亭能幫旅客阻擋 relentless heat 狂暴的酷熱）。,Unremitting (adj. 高級字) 不停的、無休止的 | Incessant (adj.) 連續不斷的、沒完沒了的 | Harsh (adj. 還記得嗎？) 嚴酷的、惡劣的,Relentlessly (adv.) 無情地、持續不斷地,,The sales team faced relentless pressure to meet their monthly targets.,,
C10,Stepwells,Intricate,adj.,錯綜複雜的、精細的,形容設計、圖案、系統或問題包含許多精細、交織的細節，非常「精美且複雜」。,Elaborate (adj. 本文孿生字) 精心製作的、複雜精美的 | Sophisticated (adj.) 複雜精密的 | Complex (adj.) 複雜的,Intricately (adv.) 錯綜複雜地、精細地 | Intricacy (n.) 錯綜複雜的細節,,The ancient monument is famous for its intricate stone carvings.,,
C10,Stepwells,Embellish,v.,裝飾、美化 / 渲染（故事）,指藉由加上裝飾品、雕刻或細節，使建築物、物品的外觀變得更美麗、華麗（原文指 sculptures that embellish many stepwells）。在口說中也可指「添油加醋地渲染情節」。,Decorate (v.) 裝飾、布置 | Adorn (v. 高級字) 裝飾、使生色 | Beautify (v.) 美化,Embellishment (n.) 裝飾物、潤色,,The medieval castle walls were embellished with grand tapestries.,,
